EAPM,PM_CONNECTIVITY_NODES,LAST_UPDATED_DATE,DATE,,,
EAPM,PM_CONNECTIVITY_NODES,LATITUDE,FLOAT,,,
EAPM,PM_CONNECTIVITY_NODES,LONGITUDE,FLOAT,,,
EAPM,PM_CONNECTIVITY_NODES,REGION_NAME,VARCHAR2,,,
EAPM,PM_CONNECTIVITY_NODES,STATUS,VARCHAR2,,,
EAPM,PM_CONNECTIVITY_NODES,SUB_REGION_NAME,VARCHAR2,,,
EAPM,PM_CONNECTORS,CONNECTOR_ID,VARCHAR2,*,EAPM,PM_IDENTIFIED_OBJECTS
EAPM,PM_CONNECTORS,TERM_TERMINAL_ID,VARCHAR2,,EAPM,PM_TERMINALS
EAPM,PM_CONNECTORS,CREATED_DATE,DATE,,,
EAPM,PM_CONNECTORS,END_DATE,DATE,,,
EAPM,PM_CONNECTORS,LAST_UPDATED_DATE,DATE,,,
EAPM,PM_DIAGRAMS,DIAGRAM_ID,VARCHAR2,*,EAPM,PM_IDENTIFIED_OBJECTS
EAPM,PM_DIAGRAMS,CREATED_DATE,DATE,,,
EAPM,PM_DIAGRAMS,DESCRIPTION,VARCHAR2,,,
EAPM,PM_DIAGRAMS,DIAGRAM_NAME,VARCHAR2,,,
EAPM,PM_DIAGRAMS,DIAGRAM_VERSION,VARCHAR2,,,
EAPM,PM_DIAGRAMS,END_DATE,DATE,,,
EAPM,PM_DIAGRAMS,EXTRACT_DATE,DATE,,,
EAPM,PM_DIAGRAMS,LAST_UPDATED_DATE,DATE,,,
EAPM,PM_DIAGRAMS,X_BOTTOM_LEFT,VARCHAR2,,,
EAPM,PM_DIAGRAMS,X_TOP_RIGHT,VARCHAR2,,,
EAPM,PM_DIAGRAMS,Y_BOTTOM_LEFT,VARCHAR2,,,
EAPM,PM_DIAGRAMS,Y_TOP_RIGHT,VARCHAR2,,,
EAPM,PM_DIAGRAM_LAYERS,DIAGRAM_LAYER_ID,VARCHAR2,*,EAPM,PM_IDENTIFIED_OBJECTS
EAPM,PM_DIAGRAM_LAYERS,DIA_DIAGRAM_ID,VARCHAR2,,EAPM,PM_DIAGRAMS
